structure,method,energy,gnorm,opt_time,peak_mem,cpu_time,opt_succ,cycles,hessian,failure,options,switch
structure1,conj,-471.60493794,0.00064603,3.9144,0.55,3.9145,True,450,0,,,-1
structure2,conj,-468.89933124,0.01996392,8.9609,0.55,8.9609,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure3,conj,-468.57592911,0.00057831,9.1955,0.55,9.1955,True,991,0,,,-1
structure4,conj,-469.74970828,0.0016503,9.2969,0.55,9.2969,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure5,conj,-465.22313356,0.12693096,9.3906,0.55,9.3906,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure6,conj,-470.3763054,0.00053693,2.8026,0.55,2.8026,True,336,0,,,-1
structure7,conj,-468.30667013,0.00111781,9.2204,0.55,9.2205,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure8,conj,-469.24523484,0.00049693,2.0555,0.55,2.0555,True,287,0,,,-1
structure9,conj,inf,0,0.9793,0.55,0.9793,False,199,0,"  **** Too many failed attempts to optimise ****
",,-1
structure10,conj,-469.25174698,0.00058804,7.294,0.55,7.294,True,917,0,,,-1
structure11,conj,-466.53570649,0.00224083,6.8958,0.55,6.8958,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure12,conj,-468.27442079,0.00056004,3.8763,0.55,3.8763,True,424,0,,,-1
structure13,conj,inf,0,0.6894,0.55,0.6894,False,166,0,"  **** Too many failed attempts to optimise ****
",,-1
structure14,conj,-469.83853974,0.00056747,3.9767,0.55,3.9767,True,543,0,,,-1
structure15,conj,-469.3540287,0.00055585,2.4798,0.55,2.4798,True,279,0,,,-1
structure16,conj,inf,0,0.1492,0.55,0.1492,False,21,0,"  **** Too many failed attempts to optimise ****
",,-1
structure17,conj,-467.33416815,0.00248592,10.3811,0.55,10.3812,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure18,conj,-470.05588531,0.05892439,2.134,0.55,2.134,False,280,0,"  **** Too many failed attempts to optimise ****
",,-1
structure19,conj,-472.19899734,0.00052007,5.584,0.55,5.584,True,671,0,,,-1
structure20,conj,-470.41130749,0.00049432,5.8436,0.55,5.8436,True,726,0,,,-1
structure21,conj,inf,0,0.1624,0.55,0.1624,False,23,0,"  **** Too many failed attempts to optimise ****
",,-1
structure22,conj,-470.82350997,0.00707408,9.1214,0.55,9.1214,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure23,conj,-469.04943444,0.00056486,4.0766,0.55,4.0766,True,479,0,,,-1
structure24,conj,-471.35891659,0.00034618,3.2062,0.55,3.2062,True,426,0,,,-1
structure25,conj,-470.11120819,0.01567123,3.5695,0.55,3.5695,False,370,0,"  **** Too many failed attempts to optimise ****
",,-1
structure26,conj,-466.85092323,0.00727545,6.5109,0.55,6.5109,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure27,conj,-470.11587718,0.00150713,9.7995,0.55,9.7996,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure28,conj,-468.46756161,0.00050952,4.8445,0.55,4.8445,True,686,0,,,-1
structure29,conj,-467.63034797,0.00057852,3.5919,0.55,3.5919,True,560,0,,,-1
structure30,conj,-468.80133305,0.00186807,7.9504,0.55,7.9504,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure31,conj,-467.97191225,0.00192333,7.62,0.55,7.62,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure32,conj,-468.68986291,0.0006635,1.7357,0.55,1.7358,True,275,0,,,-1
structure33,conj,-468.42149972,0.00045839,6.8444,0.55,6.8445,True,920,0,,,-1
structure34,conj,-469.14696978,0.00061065,5.3586,0.55,5.3587,True,686,0,,,-1
structure35,conj,-462.23091214,0.03378403,5.6024,0.55,5.6024,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure36,conj,-470.43894721,0.00050419,7.6688,0.55,7.6688,True,972,0,,,-1
structure37,conj,-468.9354543,0.0363118,9.2071,0.55,9.2071,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure38,conj,-469.67835955,0.00045269,9.8727,0.55,9.8728,True,996,0,,,-1
structure39,conj,-467.45362118,0.00058447,4.6346,0.55,4.6346,True,635,0,,,-1
structure40,conj,-468.04668323,0.02034758,9.2143,0.55,9.2143,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure41,conj,-469.30318147,0.00050404,5.4647,0.55,5.4647,True,800,0,,,-1
structure42,conj,-468.92116942,0.00051679,6.337,0.55,6.3371,True,589,0,,,-1
structure43,conj,-468.69920252,0.00063184,1.4899,0.55,1.4899,True,191,0,,,-1
structure44,conj,-467.84448243,0.03171007,9.9045,0.55,9.9045,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure45,conj,-469.69720195,0.00052544,1.6564,0.55,1.6565,True,227,0,,,-1
structure46,conj,-470.5430769,0.00046472,4.0081,0.55,4.0081,True,390,0,,,-1
structure47,conj,-469.4830331,0.00045972,6.2195,0.55,6.2195,True,712,0,,,-1
structure48,conj,-467.73043965,0.00041898,3.3496,0.55,3.3496,True,470,0,,,-1
structure49,conj,-467.90433446,0.00784114,8.5512,0.55,8.5512,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure50,conj,-470.82527226,0.00639242,3.0747,0.55,3.0747,False,440,0,"  **** Too many failed attempts to optimise ****
",,-1
structure51,conj,-469.38757729,0.00298837,8.2055,0.55,8.2056,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure52,conj,-469.24839401,0.00689698,3.3432,0.55,3.3432,False,480,0,"  **** Too many failed attempts to optimise ****
",,-1
structure53,conj,inf,0,0.9234,0.55,0.9234,False,209,0,"  **** Too many failed attempts to optimise ****
",,-1
structure54,conj,-470.25104894,0.00039559,8.3473,0.55,8.3473,True,896,0,,,-1
structure55,conj,-467.72808654,0.0699809,3.3198,0.55,3.3198,False,400,0,"  **** Too many failed attempts to optimise ****
",,-1
structure56,conj,-462.31873752,1.50473597,3.0887,0.55,3.0887,False,310,0,"  **** Too many failed attempts to optimise ****
",,-1
structure57,conj,-472.6685633,0.00048566,1.2072,0.55,1.2073,True,180,0,,,-1
structure58,conj,-470.30876903,0.000521,3.1879,0.55,3.188,True,420,0,,,-1
structure59,conj,-468.96037836,0.00053686,3.4431,0.55,3.4431,True,396,0,,,-1
structure60,conj,-464.4503022,0.0074117,6.7094,0.55,6.7094,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure61,conj,-469.18149168,0.0005838,3.2487,0.55,3.2487,True,425,0,,,-1
structure62,conj,-468.55041956,0.00062263,8.6214,0.55,8.6215,True,860,0,,,-1
structure63,conj,-469.68255525,0.00054699,1.5975,0.55,1.5975,True,274,0,,,-1
structure64,conj,-470.60768774,0.00054001,6.1956,0.55,6.1956,True,762,0,,,-1
structure65,conj,-475.750635,0.00055698,1.1233,0.55,1.1233,True,171,0,,,-1
structure66,conj,-469.58903856,0.00060741,6.5197,0.55,6.5197,True,797,0,,,-1
structure67,conj,-469.56367123,0.06163242,2.7192,0.55,2.7192,False,310,0,"  **** Too many failed attempts to optimise ****
",,-1
structure68,conj,-469.55197214,0.00062321,6.6488,0.55,6.6488,True,663,0,,,-1
structure69,conj,-468.02425165,0.00056258,2.9214,0.55,2.9214,True,440,0,,,-1
structure70,conj,-466.70340985,0.00054787,5.7811,0.55,5.7811,True,601,0,,,-1
structure71,conj,-472.15864275,0.00047604,3.397,0.55,3.397,True,460,0,,,-1
structure72,conj,-469.39022724,0.00247322,7.7077,0.55,7.7077,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure73,conj,-467.11330831,0.00119269,9.2913,0.55,9.2913,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure74,conj,-469.68510439,0.00057488,2.5897,0.55,2.5897,True,315,0,,,-1
structure75,conj,-467.37654703,0.05576359,6.0768,0.55,6.0768,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure76,conj,-470.34567061,0.00054559,6.4998,0.55,6.4998,True,865,0,,,-1
structure77,conj,-470.5402578,0.02253627,8.006,0.55,8.006,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure78,conj,-468.24236343,0.0004686,4.5962,0.55,4.5962,True,480,0,,,-1
structure79,conj,-466.78345418,0.0005912,5.4749,0.55,5.4749,True,694,0,,,-1
structure80,conj,-463.06238319,0.00471966,6.2541,0.55,6.2542,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure81,conj,-469.68417212,0.00057955,5.4382,0.55,5.4383,True,822,0,,,-1
structure82,conj,-469.6479896,0.00177913,11.7584,0.55,11.7585,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure83,conj,-469.64853692,0.0005127,1.7738,0.55,1.7738,True,230,0,,,-1
structure84,conj,-468.81637644,0.00046366,5.592,0.55,5.592,True,760,0,,,-1
structure85,conj,-469.68511118,0.00058359,2.6208,0.55,2.6208,True,303,0,,,-1
structure86,conj,-468.53116487,0.00037855,2.9171,0.55,2.9171,True,400,0,,,-1
structure87,conj,-467.41558372,0.00058629,4.7182,0.55,4.7182,True,567,0,,,-1
structure88,conj,-470.28554755,0.00057914,2.6894,0.55,2.6894,True,286,0,,,-1
structure89,conj,inf,0,0.2422,0.55,0.2422,False,37,0,"  **** Too many failed attempts to optimise ****
",,-1
structure90,conj,-470.81681447,0.00061402,3.4831,0.55,3.4831,True,469,0,,,-1
structure91,conj,-468.10290624,0.00050911,6.4566,0.55,6.4566,True,820,0,,,-1
structure92,conj,-473.85896251,0.00063729,3.374,0.55,3.374,True,480,0,,,-1
structure93,conj,-470.3183807,0.0005424,10.4315,0.55,10.4315,True,984,0,,,-1
structure94,conj,-470.95804304,0.00164085,6.8953,0.55,6.8953,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure95,conj,-471.03028051,0.00063154,6.5293,0.55,6.5294,True,914,0,,,-1
structure96,conj,-469.27273372,0.60511919,2.7608,0.55,2.7608,False,340,0,"  **** Too many failed attempts to optimise ****
",,-1
structure97,conj,-469.73615768,0.00055062,2.6925,0.55,2.6925,True,382,0,,,-1
structure98,conj,-471.0064352,0.00052918,8.2408,0.55,8.2408,True,840,0,,,-1
structure99,conj,-467.63775418,0.00316297,10.288,0.55,10.288,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure100,conj,-470.7920621,0.00040874,0.8459,0.55,0.8459,True,118,0,,,-1
structure101,conj,-466.12688172,1.24715227,0.8539,0.55,0.8539,False,120,0,"  **** Too many failed attempts to optimise ****
",,-1
structure102,conj,-470.77288428,0.00042337,3.2783,0.55,3.2783,True,343,0,,,-1
structure103,conj,-470.49385533,0.06858909,3.1392,0.55,3.1392,False,300,0,"  **** Too many failed attempts to optimise ****
",,-1
structure104,conj,-469.61378874,0.00053424,3.9791,0.55,3.9792,True,407,0,,,-1
structure105,conj,-475.75063408,0.00059221,0.875,0.55,0.8751,True,117,0,,,-1
structure106,conj,-471.54622085,0.00051663,5.3118,0.55,5.3118,True,659,0,,,-1
structure107,conj,-468.55978844,0.00057301,2.09,0.55,2.09,True,290,0,,,-1
structure108,conj,-469.58906286,0.00049631,5.1613,0.55,5.1613,True,695,0,,,-1
structure109,conj,-469.146994,0.00045794,5.3917,0.55,5.3917,True,619,0,,,-1
structure110,conj,-470.65479266,0.00059768,4.2581,0.55,4.2582,True,547,0,,,-1
structure111,conj,inf,0,0.2173,0.55,0.2173,False,28,0,"  **** Too many failed attempts to optimise ****
",,-1
structure112,conj,-465.01339306,2.05275159,1.968,0.55,1.968,False,250,0,"  **** Too many failed attempts to optimise ****
",,-1
structure113,conj,inf,0,0.3077,0.55,0.3077,False,47,0,"  **** Too many failed attempts to optimise ****
",,-1
structure114,conj,-469.42293294,0.00056444,7.2436,0.55,7.2436,True,791,0,,,-1
structure115,conj,-470.37630507,0.00057044,4.7267,0.55,4.7267,True,551,0,,,-1
structure116,conj,-467.1004038,0.00049805,4.9191,0.55,4.9191,True,556,0,,,-1
structure117,conj,-467.99619017,0.00052721,3.4133,0.55,3.4133,True,357,0,,,-1
structure118,conj,-469.49621925,0.0005209,2.8699,0.55,2.87,True,325,0,,,-1
structure119,conj,-470.43611514,0.00054657,6.1323,0.55,6.1323,True,935,0,,,-1
structure120,conj,-469.30025936,0.00062344,5.7179,0.55,5.7179,True,550,0,,,-1
structure121,conj,inf,0,0.1732,0.55,0.1732,False,25,0,"  **** Too many failed attempts to optimise ****
",,-1
structure122,conj,-470.01925021,0.0006303,4.6044,0.55,4.6044,True,464,0,,,-1
structure123,conj,-468.32175707,0.00060173,6.8415,0.55,6.8415,True,803,0,,,-1
structure124,conj,-469.7306774,0.00789681,8.518,0.55,8.518,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure125,conj,-469.28880703,0.00057618,5.6364,0.55,5.6364,True,612,0,,,-1
structure126,conj,-468.9255805,0.00573029,8.2617,0.55,8.2617,False,1000,0,"  **** Maximum number of function calls has been reached ****
",,-1
structure127,conj,-469.0874936,0.03487278,6.7846,0.55,6.7846,False,787,0,"  **** Too many failed attempts to optimise ****
",,-1
structure128,conj,inf,0,0.1623,0.55,0.1623,False,20,0,"  **** Too many failed attempts to optimise ****
",,-1
